terminal_id,batch,is_will_auto_refund,flag_basis,auto_refund_events,unrefunded_events,batch_rate,window_from,window_to,sheet_status_v3
23005588,Nets #1 (25x),0,batch_pooled,3,0,0.16,2026-08-15,2026-09-06,Supports auto-refund
23005589,Nets #1 (25x),0,batch_pooled,2,0,0.16,2026-08-15,2026-09-06,Supports auto-refund
23005590,Nets #1 (25x),0,batch_pooled,0,0,0.16,2026-08-15,2026-09-06,Unknown / no qualifying error 
23005591,Nets #1 (25x),0,own_events,0,7,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23005592,Nets #1 (25x),0,batch_pooled,0,0,0.16,2026-08-15,2026-09-06,Unknown / no qualifying error 
23005593,Nets #1 (25x),0,batch_pooled,0,4,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23005594,Nets #1 (25x),0,batch_pooled,0,3,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23005595,Nets #1 (25x),0,batch_pooled,0,1,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23005596,Nets #1 (25x),0,own_events,2,5,0.16,2026-08-15,2026-09-06,Supports auto-refund
23005597,Nets #1 (25x),0,batch_pooled,1,0,0.16,2026-08-15,2026-09-06,Supports auto-refund
23012473,Nets #1 (25x),0,batch_pooled,0,3,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23012474,Nets #1 (25x),0,batch_pooled,0,0,0.16,2026-08-15,2026-09-06,Unknown / no qualifying error 
23012475,Nets #1 (25x),0,batch_pooled,0,1,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23012476,Nets #1 (25x),0,own_events,1,5,0.16,2026-08-15,2026-09-06,Supports auto-refund
23012477,Nets #1 (25x),0,own_events,0,7,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23012478,Nets #1 (25x),0,own_events,0,8,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23012479,Nets #1 (25x),0,batch_pooled,0,0,0.16,2026-08-15,2026-09-06,Unknown / no qualifying error 
23012480,Auresys #1,,auresys_coverage_gap,2,0,,2026-08-15,2026-09-06,Supports auto-refund
23012481,Auresys #1,,auresys_coverage_gap,0,0,,2026-08-15,2026-09-06,Unknown / no qualifying error 
23012482,Auresys #1,,auresys_coverage_gap,0,0,,2026-08-15,2026-09-06,Unknown / no qualifying error 
23077326,Auresys #1,,auresys_coverage_gap,8,14,,2026-08-15,2026-09-06,Supports auto-refund
23077327,Auresys #1,,auresys_coverage_gap,3,6,,2026-08-15,2026-09-06,Supports auto-refund
23077328,Auresys #1,,auresys_coverage_gap,0,3,,2026-08-15,2026-09-06,Likely does NOT support auto-r
23077329,Auresys #1,,auresys_coverage_gap,5,3,,2026-08-15,2026-09-06,Supports auto-refund
23077330,Auresys #1,,auresys_coverage_gap,6,0,,2026-08-15,2026-09-06,Supports auto-refund
23082801,Nets #2 (30x),0,batch_pooled,0,2,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082802,Nets #2 (30x),0,batch_pooled,0,3,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082803,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Unknown / no qualifying error 
23082804,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Unknown / no qualifying error 
23082805,Nets #2 (30x),0,batch_pooled,0,3,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082806,Nets #1 (25x),0,batch_pooled,0,1,0.16,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082807,Nets #2 (30x),0,batch_pooled,0,1,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082808,Nets #2 (30x),0,batch_pooled,1,0,0.13,2026-08-15,2026-09-06,Supports auto-refund
23082809,Nets #2 (30x),0,batch_pooled,0,3,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082810,Nets #2 (30x),0,batch_pooled,0,1,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082811,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Unknown / no qualifying error 
23082812,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Supports auto-refund
23082813,Nets #2 (30x),0,own_events,1,6,0.13,2026-08-15,2026-09-06,Supports auto-refund
23082814,Nets #2 (30x),0,batch_pooled,0,3,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082815,Nets #2 (30x),0,batch_pooled,1,3,0.13,2026-08-15,2026-09-06,Supports auto-refund
23082816,Nets #2 (30x),0,batch_pooled,0,2,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082817,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Unknown / no qualifying error 
23082818,Nets #2 (30x),0,own_events,0,5,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082819,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Unknown / no qualifying error 
23082820,Nets #2 (30x),0,batch_pooled,0,2,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082821,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Unknown / no qualifying error 
23082822,Nets #2 (30x),0,own_events,1,13,0.13,2026-08-15,2026-09-06,Supports auto-refund
23082823,Nets #2 (30x),0,batch_pooled,1,0,0.13,2026-08-15,2026-09-06,Supports auto-refund
23082824,Nets #2 (30x),0,batch_pooled,0,0,0.13,2026-08-15,2026-09-06,Unknown / no qualifying error 
23082825,Nets #2 (30x),0,batch_pooled,0,3,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
23082826,Nets #2 (30x),0,batch_pooled,0,1,0.13,2026-08-15,2026-09-06,Likely does NOT support auto-r
