terminal_id,vend_code,provider,bound_from,bound_until,remarks
23005588,2473,nets,2025-03-04,2026-08-04,
23005589,2815,nets,2025-04-28,,
23005590,4602,nets,2026-08-05,,
23005591,2326,nets,2024-09-22,,
23005592,2820,nets,2026-06-24,,
23005593,4607,nets,2026-08-05,,
23005594,2117,nets,2026-08-13,,
23005595,2393,nets,2024-12-16,,
23005596,2294,nets,2025-03-07,,
23005597,4610,nets,2026-01-23,,
23012473,4713,nets,2025-09-12,,
23012474,2662,nets,2026-01-13,,
23012475,4601,nets,2026-07-22,,
23012476,2747,nets,2025-05-14,,
23012477,2702,nets,2025-05-30,,
23012478,2841,nets,2026-01-11,,
23012479,4721,nets,2025-11-12,,
23012480,2800,nets,2024-12-06,,23012480-Ezlink(25670003)
23012481,2858,nets,2025-02-03,,23012481-Ezlink(25670004)
23012482,2859,nets,2025-04-05,,23012482-Ezlink(25670005)
23077326,2097,nets,2026-07-26,,23077326-EZLink(25670006)
23077327,2873,nets,2026-08-12,,23077327-EZLink(25670007)
23077328,2629,nets,2025-08-15,,23077328-EZLink(25670008)
23077329,2627,nets,2025-08-01,,23077329-EZLink(25670009)
23077330,2716,nets,2026-01-02,,23077330-EZLink(25670010)
23082801,5073,nets,2025-09-23,,
23082802,2401,nets,2025-12-03,,
23082803,2863,nets,2026-05-09,,
23082804,2539,nets,2025-09-29,,
23082805,2794,nets,2025-09-29,,
23082806,2795,nets,2025-10-15,,
23082807,2489,nets,2025-12-01,,
23082808,2860,nets,2026-03-14,,
23082809,2091,nets,2026-01-13,,
23082810,4619,nets,2026-07-19,,
23082811,2742,nets,2025-09-26,,
23082812,2787,nets,2025-09-26,,
23082813,2644,nets,2025-10-05,,
23082814,2839,nets,2026-01-15,,
23082815,2748,nets,2025-10-05,,
23082816,2527,nets,2025-09-27,,
23082817,2831,nets,2025-10-23,,
23082818,2299,nets,2025-09-30,,
23082819,2824,nets,2026-02-27,,
23082820,2659,nets,2025-10-02,,
23082821,2744,nets,2025-10-05,,
23082822,2682,nets,2025-10-04,,
23082823,2657,nets,2026-04-15,,
23082824,2542,nets,2025-10-05,,
23082825,2564,nets,2025-10-05,,
23082826,2300,nets,2025-10-04,,
23082827,2723,nets,2026-07-30,,
23082828,2757,nets,2026-04-07,,
23082829,2790,nets,2025-11-06,,
23082830,2687,nets,2025-11-05,,
23100684,2718,nets,2026-06-27,,
23100685,4408,nets,2026-02-11,,
23100686,2612,nets,2026-02-11,,
23100687,2476,nets,2026-02-15,,
23100688,2658,nets,2026-02-12,,
23100689,2241,nets,2026-02-11,,
23100690,4247,nets,2026-02-12,,
23100691,2367,nets,2026-02-14,,
23100692,4605,nets,2026-07-30,,
23100693,2269,nets,2026-02-12,,
23100694,2873,nets,2026-02-14,2026-08-12,
23100694,2620,nets,2026-08-12,,
23100695,2561,nets,2026-02-14,,
23100696,2775,nets,2026-02-14,,
23100697,2704,nets,2026-06-16,,
23100698,2701,nets,2026-02-10,,
23100699,4606,nets,2026-07-30,,
23100700,2596,nets,2026-06-02,,
23100701,2556,nets,2026-02-10,,
23100702,2436,nets,2026-02-10,,
23100703,2605,nets,2026-02-12,2026-08-05,
23100704,2179,nets,2026-02-11,,
23100705,4419,nets,2026-02-10,,
23100706,2749,nets,2026-02-10,,
23100707,2177,nets,2026-06-28,,
23100708,2116,nets,2026-02-11,,
23100709,2361,nets,2026-02-19,,
23100710,2461,nets,2026-07-01,,
23100711,2129,nets,2026-02-15,2026-08-09,
23100711,2363,nets,2026-08-12,,
23100712,2475,nets,2026-02-15,,
23100713,2130,nets,2026-02-15,,
23100714,2199,nets,2026-02-19,,
23100715,2663,nets,2026-07-20,,
23100716,2363,nets,2026-02-15,2026-08-12,
23100716,2753,nets,2026-08-16,,
23100717,2518,nets,2026-02-19,2026-08-15,
23100718,2822,nets,2026-06-23,,
23100719,2443,nets,2026-02-15,,
23100720,2240,nets,2026-02-15,,
23100721,2573,nets,2026-02-15,,
23100722,2517,nets,2026-02-15,,
23100723,2322,nets,2026-02-12,,
23100724,4411,nets,2026-02-12,,
23100725,2113,nets,2026-02-15,,
23100726,2798,nets,2026-02-13,,
23100727,2501,nets,2026-06-28,,
23100728,2828,nets,2026-02-12,,
23100729,2714,nets,2026-02-14,,
23100730,2385,nets,2026-02-14,,
23100731,2356,nets,2026-02-15,,
23100732,4177,nets,2026-03-31,,
23100733,2802,nets,2026-02-13,,
23102904,2306,nets,2026-03-31,,
23102905,2099,nets,2026-03-28,,
23102906,2286,nets,2026-03-28,,
23102907,2854,nets,2026-08-11,,
