id,cashless_mfg
1032,
1076,
1095,
1103,
1130,
1138,
1149,NYX
1154,
1156,
1157,
1158,
1159,
1161,
1169,
1171,
1174,
1176,
1177,
1178,
1179,
1180,
1181,
1182,
1183,
1184,
1185,
1186,
1187,
1188,
1189,
1192,
1194,
1541,
1676,
1801,
1802,
1803,
1804,
1805,
1806,
1807,
1808,
1809,
1810,
1811,
1812,
1813,
1814,
1815,
1816,
1989,
2001,
2003,
2005,NYX
2007,NYX
2014,NYX
2024,
2028,
2036,
2038,
2043,
2046,
2048,
2049,
2052,CAS
2060,NYX
2061,CAS
2062,
2063,CAS
2065,
2067,NYX
2071,
2075,NYX
2080,
2081,CAS
2082,
2083,
2091,CAS
2094,NYX
2096,
2097,111
2098,
2099,CAS
2100,CAS
2101,
2102,CAS
2105,CAS
2108,
2110,
2111,
2112,CAS
2113,CAS
2114,CAS
2115,
2116,CAS
2117,
2127,NYX
2128,CAS
2129,CAS
2130,CAS
2134,NYX
2136,
2142,
2147,
2150,CAS
2154,NYX
2158,
2159,
2162,
2163,
2166,
2169,
2171,
2176,CAS
2177,NYX
2178,
2179,CAS
2184,
2189,
2190,NYX
2191,PAX
2198,
2199,CAS
2200,
2203,
2205,CAS
2206,
2207,
2208,
2209,
2212,CAS
2213,
2216,
2217,
2218,CAS
2220,
2226,
2228,
2230,
2233,
2234,
2235,
2236,
2237,
2238,
2239,
2240,CAS
2241,CAS
2242,NYX
2243,
2245,
2246,
2247,
2248,
2249,NYX
2250,
2251,
2252,
2254,
2255,
2256,
2257,
2259,
2260,CAS
2262,
2264,
2265,
2267,
2268,NYX
2269,CAS
2270,
2272,
2273,
2274,
2275,
2277,
2278,
2280,CAS
2282,CAS
2283,NYX
2284,
2285,
2286,CAS
2287,
2288,NYX
2289,CAS
2290,CAS
2291,NYX
2292,
2293,
2294,CAS
2295,
2296,
2298,CAS
2299,CAS
2300,CAS
2301,
2302,
2303,CAS
2305,
2306,CAS
2307,
2309,
2310,CAS
2311,
2312,
2313,
2314,
2316,CAS
2317,
2318,
2319,
2320,NYX
2321,CAS
2322,CAS
2323,
2324,NYX
2325,
2326,
2327,
2328,
2329,
2330,
2331,NYX
2332,
2334,
2335,
2336,
2337,NYX
2338,CAS
2339,
2341,
2342,NYX
2343,
2344,
2345,
2346,
2347,
2348,CAS
2349,
2350,
2351,CAS
2352,NYX
2353,
2354,
2355,
2356,CAS
2357,
2358,
2359,NYX
2360,
2361,CAS
2362,
2363,CAS
2364,
2365,CAS
2366,NYX
2367,CAS
2370,NYX
2371,
2372,
2373,
2374,
2375,
2376,CAS
2377,
2378,NYX
2379,NYX
2381,
2382,
2383,
2385,CAS
2387,NYX
2388,CAS
2389,
2390,
2392,
2393,CAS
2394,
2395,
2396,
2397,
2398,
2399,CAS
2400,
2401,CAS
2402,CAS
2403,CAS
2404,
2405,
2406,
2407,
2408,
2409,
2410,
2411,
2412,
2413,
2414,
2415,
2416,
2417,
2418,NYX
2419,
2420,
2421,
2422,
2423,
2424,
2425,
2426,
2427,NYX
2428,
2429,
2430,
2431,NYX
2433,
2434,CAS
2435,
2436,CAS
2437,
2438,
2439,NYX
2440,
2441,
2442,NYX
2443,CAS
2444,
2445,
2446,NYX
2447,
2448,
2449,
2450,
2451,
2452,
2454,
2455,
2456,
2457,CAS
2458,
2459,
2460,
2461,CAS
2462,NYX
2463,
2464,
2465,
2466,
2467,
2468,CAS
2469,
2470,
2472,
2473,CAS
2474,CAS
2475,CAS
2476,CAS
2477,
2478,
2479,
2480,
2481,
2482,
2483,
2485,
2486,
2487,
2488,
2489,CAS
2490,
2491,NYX
2492,
2493,
2494,
2495,
2496,CAS
2497,CAS
2498,
2499,CAS
2500,
2501,
2502,CAS
2503,
2504,CAS
2505,
2506,CAS
2508,CAS
2509,
2510,
2511,
2512,
2515,
2516,NYX
2517,CAS
2518,CAS
2519,CAS
2520,
2522,CAS
2525,CAS
2526,CAS
2527,CAS
2531,
2532,
2534,
2535,
2536,
2537,
2538,
2539,CAS
