Vend Code | Customer Code | Customer Name | Operator Code
--------------------------------------------------------
1149 | 15709 (USD) | Bartley Residences Condo | HIPL
1184 | 15670 (UEN) | Mount Faber Loop, Mt Faber | HIPL
1184 | 16803 | Airshow2026 Exhibition Hall Machine 1 | HIPL
1185 | 16680 (UEN) | Victoria Street, Enterprise Singapore 2 | HIESG
1802 | 13189 (VBJ) | Tampines Central 5, Tampines Mall B&J Game Vbj-626 | HIPL
1806 | 14570 (VBJ) | Netheravon Rd, CSC Changi Gallop Bowling B&J Vbj-723 | HIPL
1808 | 15158 (VBJ) | Orchid Club Rd, Orchid Country Club Fairprice Claw Vbj-727 | HIPL
1809 | 15364 (VBJ) | Amber Rd, Chinese Swimming Club B&J Fvm 732 | HIPL
1810 | 15396 (VBJ) | Pasir Ris Close, Wild Wild Wet B&J Fvm Vbj-733 | HIPL
2014 | 15650 (BEC) | River Place Condo | HIPL
2043 | 15926 (UD) | Jurong Camp 1, Blk 101 - MINDEF | HIMD
2046 | 15653 (BEC2) | Carissa Park Condo | HIPL
2048 | 16110 (USD) | Sungei Gedong Camp, Blk 424 - MINDEF | HIMD
2052 | 16685 (BEH) | Timbre+ One North | HIPL
2060 | 15553 (UD) | Regentville Condo | HIPL
2061 | 15831 (BEH) | The Cascadia Condo | HIPL
2063 | 15624 (BEC2) | Laguna Park Condo | HIPL
2065 | 15617 (UD) | Haig Court Condo | HIPL
2067 | 15634 (BEC2) | Waterfront Gold Condo | HIPL
2075 | 16237 (BEC2) | Seletar Springs Condo | HIPL
2080 | 15627 (BEC2) | Waterview Condo | HIPL
2081 | 16674 (UFI) | Treasure at Tampines Condo | HIPL
2082 | 15675 (UKD) | Rivervale St Blk 126, Rivervale Spring RC | HIPL
2091 | 15666 (BEC2) | Hillview Green Condo | HIPL
2094 | 15630 (BEC2) | Watercolours Condo | HIPL
2096 | 16290 (UUD) | Dieppe Barracks Camp, Blk 11 Lvl 2-14 - MINDEF | HIMD
2097 | 16028 (USD) | Woodlands Dr 50 Blk 896B, Sweetlands | HIPL
2098 | 15614 (UD) | Flamingo Valley Condo | HIPL
2099 | 15657 (UEI) | Hyderabad Rd, SP Jain | HIPL
2100 | 15616 (UKD) | Ridgewood Condo | HIPL
2101 | 15858 (BEC) | The Bayshore Condo | HIPL
2102 | 15644 (BEC) | Hume Park 1 Condo | HIPL
2105 | 15704 (UFI) | Kitchener Rd, Parkroyal (Main Lobby) | HIPL
2105 | 16774 (UFI) | Bartley Residences Condo (at Swimming Pool Deck) | HIPL
2112 | 15700 (UEJ) | Garden Pavilion - Zoo | HIPL
2113 | 15643 (UEJ) | East Lodge (Night Safari) - Zoo | HIPL
2114 | 15753 (UFI) | Jurong Gateway Rd, Jurong Play Grounds | HIPL
2116 | 15912 (UFI2) | Teck Whye Ln Blk 118, A1 Learning Centre | HIPL
2117 | 15664 (BEC2) | Northvale Condo | HIPL
2127 | 15619 (UKD) | The Estuary Condo | HIPL
2128 | 16684 (CDR) | Northoaks Condo | HIPL
2129 | 15655 (UEJ) | Retopia - Zoo | HIPL
2130 | 15649 (UEJ) | Garden With A View - Zoo | HIPL
2134 | 15585 (USD) | Winstedt Rd, LLS Lvl 1 (Ps/R) | HIPL
2137 | 16689 | Kovan Residence Condo  | HIPL
2137 | 16802 (UFI) | Jurong West St92 Blk931, Nanyang Zone 1 RC | HIPL
2142 | 16740 (USD) | Selarang Camp, Block 28 - MINDEF (Free Placement) | HIMD
2150 | 16238 (DEB) | Orchard Rd, Orchard Gateway (Rental To Cheers) | DCVIC
2154 | 15992 (UKD) | Jurong West Central 1 Blk 682A, Boon Lay Zone B RN | HIPL
2154 | 16777 (UUD) | Geylang East Ave 1 Block 125, Nice Minimarket | HIPL
2158 | 15667 (BEC2) | The Luxurie Condo | HIPL
2169 | 15610 | Toa Payoh Lor 6, Kidz Amaze (Toa Payoh SAFRA) | HIPL
2169 | 16763 (USD) | Stagmont Camp Camp Blk 319 - MINDEF | HIMD
2176 | 15949 | Netheravon Rd, CSC Changi Gallop Bowling | HIPL
2177 | 15621 (USD) | Skypark Residences Condo | HIPL
2179 | 15622 (USD) | Wandervale Condo | HIPL
2190 | 15674 (BEC2) | Hedges Park Condo | HIPL
2191 | 16054 (CFS) | Bukit Batok West Ave 6 Blk 188, Bukit Batok Zone 10 RN | HIPL
2199 | 15595 | Elias Green Condo | HIPL
2205 | 15600 (UKD) | Hillbrooks Condo | HIPL
2206 | 15953 (BEC) | Seasons Park Condo | HIPL
2212 | 15714 (BFC) | The Lanai Condo | HIPL
2218 | 15669 (BEC) | Central Grove Condo | HIPL
2228 | 15587 (UEFS) | Tree House Condo (Rental) | HIPL
2230 | 16660 (BEC2) | Parc Greenwich Condo | HIPL
2233 | 15633 (BEC2) | Sky Habitat Condo (Rental) | HIPL
2235 | 15641 (BEC2) | Bellewater Condo | HIPL
2237 | 15646 (BEC2) | Regent Grove Condo | HIPL
2240 | 15648 (UEJ) | Tropical Crops - Zoo | HIPL
2241 | 15732 (UFI) | Marine Crescent Blk 47, B.G.Lee (Rental) | HIPL
2242 | 15644 (BEC) | Hume Park 1 Condo | HIPL
2245 | 14655 (UFI) | Alexandra Rd, Delta House | HIPL
2249 | 15659 (BEC2) | Ecopolitan Condo | HIPL
2256 | 15665 (BEC) | Waterwoods Condo | HIPL
2260 | 15571 (BEH) | Changi Court Condo | HIPL
2268 | 15671 (UEI) | Pasir Panjang Rd, Haw Par Villa Courtyard | HIPL
2268 | N/A | Unknown | HIPL
2269 | 15613 (UUD) | Pasir Panjang Rd, Haw Par Villa Entrance | HIPL
2269 | 16748 (UUD) | Compassvale Lane  Blk223A, Compassvale Villa  RC | HIPL
2276 | 16250 (USD) | Tampines Industrial Ave 1, VSMC (Outdoor) | HIPL
2280 | 15762 (BEH) | Flamingo Valley Condo | HIPL
2282 | 15578 (BEH) | Changi Green Condo | HIPL
2283 | 15719 (USD) | Woodlands Close, Woodlands 11 | HIPL
2286 | 16245 (BEH) | Queensway Shopping Centre | HIPL
2288 | 15581 (BEH) | Villa Marina Condo | HIPL
2289 | 15582 | Flo Residences Condo | HIPL
2290 | 16780 (CEP) | Nepal Park, Lyf One North | HIPL
2291 | 15767 (UEI) | Changi Coast Walk, NSRCC | HIPL
2292 | 16140 (BEH) | Parc Life Condo | HIPL
2294 | 15584 (BEH) | Westwood Residences Condo | HIPL
2296 | 15764 (BEC) | Boathouse Residences Condo | HIPL
2298 | 16032 (BEC) | Joo Chiat Place 332 | HIPL
2299 | 15723 (UEI) | Boon Lay Way, Jurong SAFRA | HIPL
2300 | 15992 (UKD) | Jurong West Central 1 Blk 682A, Boon Lay Zone B RN | HIPL
2301 | 15637 (BEC) | Arc Of Tampines Condo | HIPL
2302 | 15702 (BEC) | Waterfront @ Faber Condo | HIPL
2303 | 16241 (DEB) | Star Ave, Mediacorp | DCVIC
2306 | 16708 (BEC) | Casablanca Condo | HIPL
2310 | 15593 (UD) | Bukit Batok West Ave 2, CSC Bukit Batok (Swimming Pool) | HIPL
2311 | 15639 (BEC) | City Square Residences Condo | HIPL
2312 | 15668 (UFI) | Chiltern Park Condo | HIPL
2316 | 15642 (BEC) | Parc Riviera Condo | HIPL
2320 | 15645 (BEC) | Eastvale Condo | HIPL
2321 | 15684 (UFI) | Choa Chu Kang Ave 2 Blk 295, Happy Star Learning Hub | HIPL
2322 | 15596 (USD) | Bedok South Ave 3 Blk 295, Bedok Court | HIPL
2323 | 16211 (USD) | Pasir Laba Camp, Blk 276 Lvl 1 - MINDEF | HIMD
2324 | 16074 (USD) | Boon Lay Pl Blk 210A, Boon Lay Zone A RN | HIPL
2326 | 15652 (BFC) | Jurong Lakeholmz Condo | HIPL
2330 | 15663 (BEC2) | The Rainforest Executive Condo | HIPL
2331 | 15699 | Rivervale Spring Blk 135, RC | HIPL
2334 | 16292 (USD) | Safti Military Institute Camp, Blk 60 - MINDEF | HIMD
2334 | 16758 (USD) | Sungei Gedong Camp, Blk 100 Level 2 - MINDEF | HIMD
2337 | 15557 (USD) | Archipelago Condo | HIPL
2338 | 15895 (UFI) | Tampines St 92, Tampines SAFRA (Indoor) | HIPL
2342 | 15555 (BEC) | Austville Residences Condo | HIPL
2348 | 15559 (BEC) | Orchid Park Condo | HIPL
2351 | 16275 (BEC) | Orchard Scotts Condo | HIPL
2352 | 15599 (USD) | Beach Rd, Destination | HIPL
2356 | 15654 (UEJ) | Taxi Stand - Zoo | HIPL
2359 | 15658 (UFI) | Changi Coast Walk, NSRCC Swimming Pool | HIPL
2361 | 16012 (UD) | Serangoon North Ave 5, Singtel Serangoon Hub | HIPL
2363 | 15607 (UFN) | Sunbear Area - Zoo | HIPL
2365 | 15662 (UFI) | Woodsvale Condo | HIPL
2366 | 16025 (UKD) | Yishun Ave 11 Blk 458, Sweetlands | HIPL
2367 | 16688 | Compassvale Street Senior Citizen’s Corne  Blk 291B, Compassvale Lodge RC  | HIPL
2370 | 16134 (BFC) | Compassvale Walk Blk 226A, Compassvale Vista RN | HIPL
2376 | 15697 (UFN) | How Sun Dr, Bartley Church | HIPL
2378 | 15563 (BFC) | Rivercove Residences Condo (Rental To Cheers) | HIPL
2379 | 15564 (BFC) | Eastpoint Green Condo | HIPL
2385 | 15950 (UFI) | Pasir Ris Dr 3 Blk 628 | HIPL
2387 | 15715 (UFI) | Signature At Yishun Condo | HIPL
2388 | 15573 (BFC) | Jurong East St 31 Blk 321 | HIPL
2393 | 15577 (BFC) | Jurong West Ave 1 Blk 541 | HIPL
2399 | 15620 (USD) | Jurong Gateway Rd, Jurong Play Grounds | HIPL
2401 | 15673 (UEI) | Changi Coast Walk, NSRCC Main Lobby | HIPL
2402 | 15747 (UD) | Fort Canning Rd, YWCA | HIPL
2403 | 15816 (UFI) | Ang Mo Kio Ave 6 Blk 645, THK Charities | HIPL
2406 | 15568 (USD) | Livia Condo | HIPL
2406 | 16107 (CEP) | Nee Soon Camp, Blk 361 Lvl 2 - MINDEF (Appt.) | HIMD
2408 | 15805 (CEP) | Florida Condo (Rental To Peter F&B) | HIPL
2408 | 16762 (CEP) | CMPB Blk 2 - MINDEF | HIMD
2418 | 15986 (USD) | Sentul Crescent, Kidz Amaze (Punggol SAFRA) | HIPL
2427 | 15552 (BFC) | Waterfront Key Condo | HIPL
2431 | 15679 (UFI) | Boon Lay Dr Blk 191, RC | HIPL
2434 | 15798 (UFI) | Pending Rd Blk 112, Sysawi Wash | HIPL
2436 | 15931 (USD) | Boon Lay Dr Blk 189, RC | HIPL
2439 | 15681 (BFC) | Vue 8 Residence Condo | HIPL
2442 | 15685 (UFI) | Sentul Crescent, Punggol SAFRA | HIPL
2443 | 15601 (UFJ) | Pavilion By The Lake (PBTL) - Zoo | HIPL
2445 | 15687 (UFI) | Yishun Ave 4, Yishun SAFRA Country Club | HIPL
2446 | 15688 (BFC) | Palm Isles Condo | HIPL
2457 | 15856 (BFC) | Amber Rd, Chinese Swimming Club | HIPL
2461 | 15668 (UFI) | Chiltern Park Condo | HIPL
2461 | 15610 | Toa Payoh Lor 6, Kidz Amaze (Toa Payoh SAFRA) | HIPL
2462 | 16663 (USD) | Changi Rise Condo (Rental To Cheers) | HIPL
2468 | 15705 (BFC) | East Meadows Condo | HIPL
2470 | 16664 (BEC) | Sunglade Condo (Rental To Cheers) | HIPL
2473 | 15707 (UFI) | Jurong West Central 1 Blk 692, Gnosis | HIPL
2474 | 15708 (BEC) | Thomson Rd, Thomson Medical Hospital (Utilities) | HIPL
2475 | 15602 (UEN) | Chimpanzee Area (Boat Dock 2) - Zoo | HIPL
2476 | 15605 (UFJ) | Boat Dock 1 (White Tiger Side) - Zoo | HIPL
2480 | 15713 (BFC) | Twin Waterfalls Condo | HIPL
2483 | 15716 (UFI) | Bellewoods Condo | HIPL
2487 | 16654 (USD) | Nee Soon Camp, Blk 701 Lvl 1 - MINDEF (Appt.) | HIMD
2489 | 15733 (BEC) | The Hillside Condo | HIPL
2491 | 15566 (UD) | Estella Gardens Condo | HIPL
2493 | 15735 (BEC2) | The Glyndebourne Condo | HIPL
2496 | 16124 (BEC2) | Casa Merah Condo | HIPL
2497 | 15738 (CFM2) | Bedok South Ave 1, Certis Bedok (F) | HIPL
2497 | 16730 (CFM) | Commonwealth Dr, Extra Space Commonwealth | HIPL
2499 | 15740 (BEH) | Inz Residence Condo | HIPL
2501 | 15811 (BEC) | Upper Jurong Rd, D Arena | HIPL
2502 | 16086 (UFI) | Rivervale Crescent Blk 180C, Rivervale Arc RN | HIPL
2504 | 15744 (CFK) | Regent Heights Condo | HIPL
2506 | 15746 (FUD) | Computing Dr, Nus The Deck (Canteen) (No Com) | HIPL
2508 | 16672 (USD) | Jurong West Central 3  Blk 698B, Pioneer Zone 5 RN | HIPL
2509 | 15751 (CFM2) | D'Nest Condo (Rental To Cheers) | HIPL
2513 |  | 198冰箱测试温度 | HIPL
2516 | 15755 | Netheravon Rd, CSC Changi 1 | HIPL
